home_no,host_name,host_age,host_phone,host_gender,guardian_name,guardian_phone,relation,host_register_no,host_account_no,host_bank,rent,lat,lng,introduce,host_personality_no,home_option_no,si,sgg,emd,ro,detail,register_member_role
1,이현우,92,01049724699,M,강준서,01056084505,자녀,330626-2174362,012-924690846232,토스,70,37.548342,127.046468,"뚝섬역 도보 3분, 컨디션 좋은 풀옵션 원룸",1,1,서울,성동구,empty,왕십리로14길 28,empty,USER
2,이현지,72,01088169864,F,이정자,01005525472,자녀,300727-2049725,020-884492558342,제주,35,37.552341,127.029985,올수리 깨끗함,2,2,서울,성동구,empty,독서당로59가길 27,empty,UNAUTHORIZED_MEMBER
3,노경자,97,01010224090,F,김현지,01059818342,자녀,730607-2821929,016-776752066551,전북,50,37.561471,127.054653,풀옵션의 깔끔한 분리형 원룸 더블 역세권으로 교통편리,3,3,서울,성동구,empty,용답25길 4,empty,USER
4,박선영,91,01021351659,F,김영일,01055596634,자녀,070402-2013773,013-375635537380,부산,25,37.561471,127.054653,풀옵션의 깔끔한 분리형 원룸 더블 역세권으로 교통편리,4,4,서울,성동구,empty,용답25길 4,empty,UNAUTHORIZED_MEMBER
5,이서윤,86,01021687300,F,김성민,01033090139,자녀,670509-1993736,014-936782127315,경남,60,37.537809,127.055521,투룸. 풀옵션. 수리된. 컨디션우수,5,5,서울,성동구,empty,성덕정17길 4,empty,USER
6,김영수,93,01095420312,M,김춘자,01018975053,자녀,470428-1158428,001-447287210643,국민,60,37.544543,127.050563,"내부컨디션 깔끔한 분리형 원룸, 풀옵션",6,6,서울,성동구,성수동2가,empty,empty,USER
7,이광수,78,01021774216,M,김혜진,01097053366,자녀,300206-2370877,023-768442922084,케이,70,37.548342,127.046468,뚝섬역 초역세권 분리형 원룸 풀옵션,7,7,서울,성동구,empty,왕십리로14길 28,empty,UNAUTHORIZED_MEMBER
8,고승현,93,01068662835,M,나승민,01059517400,자녀,980502-1762569,005-088650214411,농협,55,37.551234,127.045418,"뚝섬역7분거리, 3층, 오픈형원룸, 풀옵션,4월14일이후,직장인,한양대생",8,8,서울,성동구,성수동1가,empty,empty,USER
9,김도현,77,01009007620,M,이현준,01020177367,자녀,260924-2028655,016-947331269085,전북,70,37.542166,127.047105,서울숲 맞은편 새촌 저렴한 월세 분당선 이용편리 더블역세권,9,9,서울,성동구,empty,성수일로1길 16,empty,UNAUTHORIZED_MEMBER
10,심경자,66,01032938438,F,주은지,01058045052,자녀,500928-1644744,012-939405627090,토스,55,37.548281,127.046287,"뚝섬역 초역세권, 수리되어 깨끗한집, 방2개, 도배장판완료",10,10,서울,성동구,empty,왕십리로14길 26,empty,USER
11,노은영,98,01075749487,F,김상호,01061960090,자녀,070812-2206879,009-007910493508,우체국,55,37.551234,127.045418,내부 넓고 깨끗한 풀옵션 원룸,11,11,서울,성동구,성수동1가,empty,empty,UNAUTHORIZED_MEMBER
12,김현숙,70,01015491973,F,이정순,01037529982,자녀,840900-2487524,008-279771998097,SC제일,50,37.536861,127.050765,"성수동 저렴한 월세, 넓직한 원룸, 주방 분리형 원룸",12,12,서울,성동구,empty,둘레9길 10,empty,USER
13,이옥순,96,01035587889,F,김미숙,01077043615,자녀,160503-1552856,001-600411450238,국민,55,37.551234,127.045418,내부 넓고 깨끗한 풀옵션 원룸 밝은 집,13,13,서울,성동구,성수동1가,empty,empty,USER
14,김서연,95,01033378725,F,이영수,01088115540,자녀,450302-2367843,002-960922910079,우리,60,37.562444,127.042052,채광되는 미니멀 투룸,14,14,서울,성동구,empty,마조로12길 1,empty,UNAUTHORIZED_MEMBER
15,류영길,79,01023778065,M,김영미,01067668719,자녀,160420-1130860,012-492160432148,토스,35,37.552341,127.029985,올수리 깨끗,15,15,서울,성동구,empty,독서당로59가길 27,empty,USER
16,박유진,83,01085174429,F,김정훈,01059640842,자녀,940003-2742290,009-726821652115,우체국,55,37.536906,127.055638,"사진O 성수동 엘베O 풀옵션 원룸형,실5",16,16,서울,성동구,empty,둘레15길 24,empty,USER
17,이예준,83,01004234216,M,문진우,01091889348,자녀,960320-1293797,023-298014595625,케이,55,37.556268,127.041601,"한양대정문 도보 3분, 리모델링 컨디션 좋음, 주택가 위치 조용합니다.",17,17,서울,성동구,empty,살곶이4길 8,empty,USER
18,문현숙,88,01075107579,F,최예준,01034812682,자녀,670422-1293442,007-343905931513,씨티,45,37.558331,127.040211,왕십리역 역세권 한양대인접 풀옵션원룸 즉시입주,18,18,서울,성동구,empty,마조로1길 2,empty,UNAUTHORIZED_MEMBER
19,심준영,80,01022444569,M,조승현,01070737557,자녀,490608-2271810,007-376272170760,씨티,60,37.537809,127.055521,즉시입주. 수리된 2룸 월세,19,19,서울,성동구,empty,성덕정17길 4,empty,UNAUTHORIZED_MEMBER
20,이경희,74,01070318257,F,권영수,01080381877,자녀,380711-1082935,014-136685782062,경남,35,37.563771,127.039048,왕십리역 도보5분거리 조용한 원룸입니다.,20,20,서울,성동구,empty,마조로15길 24,empty,USER
21,심정수,81,01064923831,M,김명자,01094687349,자녀,220224-2193879,009-555544989275,우체국,60,37.567407,127.045813,대로변 초역세권 복층 오피스텔,21,21,서울,성동구,empty,마장로46길 4,empty,USER
22,김정훈,99,01023495007,M,안성현,01065830919,자녀,370327-2320632,090-120680058266,카카오,66,37.563635,127.030671,5월입주 대로변 엘베O 고층뷰 전입x 레지던스,22,22,서울,성동구,empty,왕십리로 353,empty,USER
23,김영길,85,01091574859,M,김채원,01010473780,자녀,160125-1309498,023-126789353073,케이,55,37.565557,127.030744,상왕십리역 인근 풀옵션 원룸,23,23,서울,성동구,empty,왕십리로30길 13,empty,USER
24,서주원,70,01085989647,M,박상호,01069773377,자녀,030415-1885617,015-233213234701,대구,50,37.567735,127.035215,거실도있는 분리형원룸 풀옵션 저렴한월세,24,24,서울,성동구,empty,청계천로12나길 4,empty,UNAUTHORIZED_MEMBER
25,이정남,92,01040753923,M,김민서,01087073796,자녀,390919-2308056,009-258641071253,우체국,70,37.565557,127.030744,즉시입주 가능한 전용넓은 원룸입니다,25,25,서울,성동구,empty,왕십리로30길 13,empty,UNAUTHORIZED_MEMBER
26,김시우,65,01081605109,M,김현정,01046294855,자녀,650009-1512864,013-384662242038,부산,50,37.563896,127.039992,"왕십리역세권, 조용한 주택가, 깨끗한 풀옵션 원룸",26,26,서울,성동구,empty,마조로15나길 5,empty,UNAUTHORIZED_MEMBER
27,김도윤,83,01041635747,M,홍영진,01039438029,자녀,480025-2533951,009-704215446626,우체국,50,37.563896,127.039992,empty,27,27,서울,성동구,empty,마조로15나길 5,empty,USER
28,김혜진,82,01044077764,F,박옥순,01016191176,자녀,350308-2774565,012-124873212162,토스,35,37.564283,127.040484,사이즈 정말좋은 깨끗한 풀옵션,28,28,서울,성동구,empty,마조로15나길 9,empty,USER
